2017-04-23 16:14:18.050050,Sono pulirti i bagni,2
2017-04-23 16:14:24.746117,Sono pulirti i bagni,3
2017-04-23 16:14:38.757857,Eppur si muove,1
2017-04-23 16:14:45.045605,Eppur si muove,2
2017-04-23 16:14:50.229820,Eppur si muove,2
2017-04-23 16:14:56.952588,Eppur si muove,3
2017-04-23 16:31:14.705102,Scialla,1
2017-04-23 16:34:00.501286,Scialla,1
2017-04-23 16:34:21.378041,Tredatre,2
2017-04-23 16:34:27.379417,Tredatre,1
2017-04-23 16:39:59.382606,Tredatre,2
2017-04-23 16:54:53.176326,Tredatre,1
2017-04-23 16:55:25.429184,Tredatre,1
2017-04-23 19:20:51.095662,Ommerda,1
2017-04-24 10:05:32.807991,Il bagno è pulito,a
2017-04-24 10:05:44.224144,Il bagno è pulito,b
2017-04-24 10:05:52.861138,Il bagno è pulito,c
2017-04-24 10:06:09.748873,La scuola è bella,a
2017-04-24 10:06:16.229490,La scuola è bella,
2017-04-24 10:06:22.637659,La scuola è bella,b
2017-04-24 10:07:45.734147,La scuola è bella,a
2017-04-24 10:07:53.956794,La scuola è bella,b
2017-04-24 10:08:01.182658,La scuola è bella,c
